"","state","city","population"
"630","千葉県","市川市","481,732"
"631","千葉県","船橋市","622,890"
"632","千葉県","館山市","47,464"
"633","千葉県","木更津市","134,141"
"634","千葉県","松戸市","483,480"
"635","千葉県","野田市","153,583"
"636","千葉県","茂原市","89,688"
"637","千葉県","成田市","131,190"
"638","千葉県","佐倉市","172,739"
"639","千葉県","東金市","60,652"
"640","千葉県","旭市","66,586"
"641","千葉県","習志野市","167,909"
"642","千葉県","柏市","413,954"
"643","千葉県","勝浦市","19,248"
"644","千葉県","市原市","274,656"
"645","千葉県","流山市","174,373"
"646","千葉県","八千代市","193,152"
"647","千葉県","我孫子市","131,606"
"648","千葉県","鴨川市","33,932"
"649","千葉県","鎌ケ谷市","108,917"
"650","千葉県","君津市","86,033"
"651","千葉県","富津市","45,601"
"652","千葉県","浦安市","164,024"
"653","千葉県","四街道市","89,245"
"654","千葉県","袖ケ浦市","60,952"
"655","千葉県","八街市","70,734"
"656","千葉県","印西市","92,670"
"657","千葉県","白井市","61,674"
"658","千葉県","富里市","49,636"
"659","千葉県","南房総市","39,033"
"660","千葉県","匝瑳市","37,261"
"661","千葉県","香取市","77,499"
"662","千葉県","山武市","52,222"
"663","千葉県","いすみ市","38,594"
"664","千葉県","大網白里市","49,184"
"665","千葉県","酒々井町","20,955"
"666","千葉県","栄町","21,228"
"667","千葉県","神崎町","6,133"
"668","千葉県","多古町","14,724"
"669","千葉県","東庄町","14,152"
"670","千葉県","九十九里町","16,510"
"671","千葉県","芝山町","7,431"
"672","千葉県","横芝光町","23,762"
"673","千葉県","一宮町","11,767"
"674","千葉県","睦沢町","7,222"
"675","千葉県","長生村","14,359"
"676","千葉県","白子町","11,149"
"677","千葉県","長柄町","7,337"
"678","千葉県","長南町","8,206"
"679","千葉県","大多喜町","9,843"
"680","千葉県","御宿町","7,315"
"681","千葉県","鋸南町","8,022"
"682","東京都","東京都","13,515,271"
"683","東京都","特別区部","9,272,740"
"684","東京都","千代田区","58,406"
"685","東京都","中央区","141,183"
"686","東京都","港区","243,283"
"687","東京都","新宿区","333,560"
"688","東京都","文京区","219,724"
"689","東京都","台東区","198,073"
"690","東京都","墨田区","256,274"
"691","東京都","江東区","498,109"
"692","東京都","品川区","386,855"
"693","東京都","目黒区","277,622"
"694","東京都","大田区","717,082"
"695","東京都","世田谷区","903,346"
"696","東京都","渋谷区","224,533"
"697","東京都","中野区","328,215"
"698","東京都","杉並区","563,997"
"699","東京都","豊島区","291,167"
"700","東京都","北区","341,076"
"701","東京都","荒川区","212,264"
"702","東京都","板橋区","561,916"
"703","東京都","練馬区","721,722"
"704","東京都","足立区","670,122"
"705","東京都","葛飾区","442,913"
"706","東京都","江戸川区","681,298"
"707","東京都","八王子市","577,513"
"708","東京都","立川市","176,295"
"709","東京都","武蔵野市","144,730"
"710","東京都","三鷹市","186,936"
"711","東京都","青梅市","137,381"
"712","東京都","府中市","260,274"
"713","東京都","昭島市","111,539"
"714","東京都","調布市","229,061"
"715","東京都","町田市","432,348"
"716","東京都","小金井市","121,396"
"717","東京都","小平市","190,005"
"718","東京都","日野市","186,283"
"719","東京都","東村山市","149,956"
"720","東京都","国分寺市","122,742"
"721","東京都","国立市","73,655"
"722","東京都","福生市","58,395"
"723","東京都","狛江市","80,249"
"724","東京都","東大和市","85,157"
"725","東京都","清瀬市","74,864"
"726","東京都","東久留米市","116,632"
"727","東京都","武蔵村山市","71,229"
"728","東京都","多摩市","146,631"
"729","東京都","稲城市","87,636"
"730","東京都","羽村市","55,833"
"731","東京都","あきる野市","80,954"
"732","東京都","西東京市","200,012"
"733","東京都","瑞穂町","33,445"
"734","東京都","日の出町","17,446"
"735","東京都","檜原村","2,209"
"736","東京都","奥多摩町","5,234"
"737","東京都","大島町","7,884"
"738","東京都","利島村","337"
"739","東京都","新島村","2,749"
"740","東京都","神津島村","1,891"
"741","東京都","三宅村","2,482"
"742","東京都","御蔵島村","335"
"743","東京都","八丈町","7,613"
"744","東京都","青ヶ島村","178"
"745","東京都","小笠原村","3,022"
"746","神奈川県","神奈川県","9,126,214"
"747","神奈川県","横浜市","3,724,844"
"748","神奈川県","横浜市 鶴見区","285,356"
"749","神奈川県","横浜市 神奈川区","238,966"
"750","神奈川県","横浜市 西区","98,532"
"751","神奈川県","横浜市 中区","148,312"
"752","神奈川県","横浜市 南区","194,827"
"753","神奈川県","横浜市 保土ケ谷区","205,493"
"754","神奈川県","横浜市 磯子区","166,229"
"755","神奈川県","横浜市 金沢区","202,229"
"756","神奈川県","横浜市 港北区","344,172"
"757","神奈川県","横浜市 戸塚区","275,283"
"758","神奈川県","横浜市 港南区","215,736"
"759","神奈川県","横浜市 旭区","247,144"
"760","神奈川県","横浜市 緑区","180,366"
"761","神奈川県","横浜市 瀬谷区","124,560"
"762","神奈川県","横浜市 栄区","122,171"
"763","神奈川県","横浜市 泉区","154,025"
"764","神奈川県","横浜市 青葉区","309,692"
"765","神奈川県","横浜市 都筑区","211,751"
"766","神奈川県","川崎市","1,475,213"
"767","神奈川県","川崎市 川崎区","223,378"
"768","神奈川県","川崎市 幸区","160,890"
"769","神奈川県","川崎市 中原区","247,529"
"770","神奈川県","川崎市 高津区","228,141"
"771","神奈川県","川崎市 多摩区","214,158"
"772","神奈川県","川崎市 宮前区","225,594"
"773","神奈川県","川崎市 麻生区","175,523"
"774","神奈川県","相模原市","720,780"
"775","神奈川県","相模原市 緑区","173,612"
"776","神奈川県","相模原市 中央区","269,888"
"777","神奈川県","相模原市 南区","277,280"
"778","神奈川県","横須賀市","406,586"
"779","神奈川県","平塚市","258,227"
"780","神奈川県","鎌倉市","173,019"
